epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.777,2.00875,2.65874,1.68792,0.38626,0.28117,0.26887,0.11692,1.15852,25.1412,0.95936,0.000659574,0.000659574,0.000659574
2,25.2349,2.10354,2.30639,1.7628,0.43287,0.3643,0.32638,0.11751,1.38277,21.1992,1.26393,0.00119494,0.00119494,0.00119494
3,29.55,2.16717,2.19687,1.78922,0.2452,0.25734,0.14607,0.05405,1.33243,17.9421,1.0689,0.00159831,0.00159831,0.00159831
4,33.8358,2.10613,1.95136,1.77774,0.54283,0.45288,0.46543,0.19666,1.17482,80.9501,1.00556,0.001406,0.001406,0.001406
5,38.1272,2.03103,1.74448,1.69506,0.64256,0.43521,0.49492,0.24973,1.12877,2.63058,0.9533,0.001208,0.001208,0.001208
6,42.4886,2.01582,1.68821,1.69443,0.74243,0.42543,0.5407,0.28744,1.06836,2.7797,0.91877,0.00101,0.00101,0.00101
7,46.755,1.95323,1.54729,1.63974,0.6585,0.59876,0.65611,0.34994,0.98,1.75593,0.86016,0.000812,0.000812,0.000812
8,50.9371,1.87676,1.43024,1.57987,0.74481,0.5868,0.67926,0.38018,0.98452,1.27,0.85908,0.000614,0.000614,0.000614
9,55.2019,1.86375,1.36614,1.56775,0.75073,0.61369,0.69941,0.39112,0.9526,1.50707,0.83337,0.000416,0.000416,0.000416
10,59.407,1.81078,1.30993,1.51294,0.77216,0.62975,0.73919,0.42531,0.91716,1.12394,0.81008,0.000218,0.000218,0.000218
